Linia,Miesiąc kod,Sprz netto PLN,czy_linIa_ma_plus,Sprz netto PLN PLUS,stosunek_PLUS_do_linia
CS5040,M-2025-01,1557271 zł,TAK,,
CS5040,M-2025-02,1677171 zł,TAK,,
CS5040,M-2025-03,2397424 zł,TAK,,
CS5040,M-2025-04,2086826 zł,TAK,,
CS5040,M-2025-05,2123668 zł,TAK,,
CS5040,M-2025-06,2368828 zł,TAK,,
CS5040,M-2025-07,1817681 zł,TAK,,
CS5040,M-2025-08,3817767 zł,TAK,,
CS5040,M-2025-09,3333753 zł,TAK,,
CS5040,M-2025-10,2084592 zł,TAK,1129 zł,"0,05 %"
CS5040,M-2025-11,3288308 zł,TAK,15806 zł,"0,48 %"
CS5040,M-2025-12,3046329 zł,TAK,32640 zł,"1,07 %"
Easy Space,M-2025-01,4445965 zł,TAK,2754 zł,"0,06 %"
Easy Space,M-2025-02,5049413 zł,TAK,852 zł,"0,02 %"
Easy Space,M-2025-03,5403134 zł,TAK,,
Easy Space,M-2025-04,4163511 zł,TAK,,
Easy Space,M-2025-05,4405350 zł,TAK,,
Easy Space,M-2025-06,5535613 zł,TAK,,
Easy Space,M-2025-07,5579536 zł,TAK,,
Easy Space,M-2025-08,6688871 zł,TAK,2285 zł,"0,03 %"
Easy Space,M-2025-09,6752392 zł,TAK,757 zł,"0,01 %"
Easy Space,M-2025-10,6281416 zł,TAK,11643 zł,"0,19 %"
Easy Space,M-2025-11,6127654 zł,TAK,234059 zł,"3,82 %"
Easy Space,M-2025-12,6053361 zł,TAK,184873 zł,"3,05 %"
eComo,M-2025-01,595489 zł,TAK,,
eComo,M-2025-02,553055 zł,TAK,,
eComo,M-2025-03,902626 zł,TAK,,
eComo,M-2025-04,464584 zł,TAK,,
eComo,M-2025-05,848257 zł,TAK,1218 zł,"0,14 %"
eComo,M-2025-06,1095935 zł,TAK,,
eComo,M-2025-07,1055418 zł,TAK,,
eComo,M-2025-08,807571 zł,TAK,,
eComo,M-2025-09,827248 zł,TAK,,
eComo,M-2025-10,772309 zł,TAK,8437 zł,"1,09 %"
eComo,M-2025-11,673231 zł,TAK,44636 zł,"6,63 %"
eComo,M-2025-12,954493 zł,TAK,76247 zł,"7,99 %"
eModel,M-2025-01,80250 zł,TAK,,
eModel,M-2025-02,164176 zł,TAK,,
eModel,M-2025-03,235447 zł,TAK,,
eModel,M-2025-04,101988 zł,TAK,,
eModel,M-2025-05,184032 zł,TAK,,
eModel,M-2025-06,56614 zł,TAK,,
eModel,M-2025-07,54078 zł,TAK,,
eModel,M-2025-08,134582 zł,TAK,,
eModel,M-2025-09,121027 zł,TAK,,
eModel,M-2025-10,46717 zł,TAK,,
eModel,M-2025-11,38370 zł,TAK,,
eModel,M-2025-12,60658 zł,TAK,,
eModel 3.0,M-2025-01,4556020 zł,TAK,,
eModel 3.0,M-2025-02,5488076 zł,TAK,,
eModel 3.0,M-2025-03,5814658 zł,TAK,,
eModel 3.0,M-2025-04,6565500 zł,TAK,,
eModel 3.0,M-2025-05,6294780 zł,TAK,,
eModel 3.0,M-2025-06,7226282 zł,TAK,,
eModel 3.0,M-2025-07,7390991 zł,TAK,,
eModel 3.0,M-2025-08,7039373 zł,TAK,,
eModel 3.0,M-2025-09,9362903 zł,TAK,,
eModel 3.0,M-2025-10,9365191 zł,TAK,12278 zł,"0,13 %"
eModel 3.0,M-2025-11,7816924 zł,TAK,65928 zł,"0,84 %"
eModel 3.0,M-2025-12,10617930 zł,TAK,84652 zł,"0,80 %"
K40,M-2025-01,4341939 zł,TAK,,
K40,M-2025-02,3527166 zł,TAK,,
K40,M-2025-03,4196578 zł,TAK,,
K40,M-2025-04,4578215 zł,TAK,,
K40,M-2025-05,4782117 zł,TAK,,
K40,M-2025-06,4426089 zł,TAK,,
K40,M-2025-07,3262719 zł,TAK,,
K40,M-2025-08,4840660 zł,TAK,1152 zł,"0,02 %"
K40,M-2025-09,4404319 zł,TAK,51064 zł,"1,16 %"
K40,M-2025-10,4556088 zł,TAK,69871 zł,"1,53 %"
K40,M-2025-11,5246957 zł,TAK,37133 zł,"0,71 %"
K40,M-2025-12,5393441 zł,TAK,102920 zł,"1,91 %"
Multiline komponenty,M-2025-01,8536927 zł,TAK,,
Multiline komponenty,M-2025-02,7048499 zł,TAK,,
Multiline komponenty,M-2025-03,8919805 zł,TAK,,
Multiline komponenty,M-2025-04,9170488 zł,TAK,,
Multiline komponenty,M-2025-05,7943191 zł,TAK,,
Multiline komponenty,M-2025-06,10491738 zł,TAK,,
Multiline komponenty,M-2025-07,7024076 zł,TAK,,
Multiline komponenty,M-2025-08,7840989 zł,TAK,2827 zł,"0,04 %"
Multiline komponenty,M-2025-09,8926719 zł,TAK,72833 zł,"0,82 %"
Multiline komponenty,M-2025-10,9438206 zł,TAK,44365 zł,"0,47 %"
Multiline komponenty,M-2025-11,9985630 zł,TAK,69560 zł,"0,70 %"
Multiline komponenty,M-2025-12,13015853 zł,TAK,99300 zł,"0,76 %"
